job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
Executive/ Sr. Executive - Information Technology,United Office Systems Pvt. Ltd,4.4,(22 Reviews),3-5 Yrs,Not disclosed,Mumbai,"Any Graduate OR Bachelors degree in Computer Science, Information Technology, System Ad...","Installation
Windows Administration
system administration
Active directory
troubleshooting
EPBX System
FTP
configuration",8 DAYS AGO
Urgent Opening For Information Technology Analyst,ICICI Bank,4,(31065 Reviews),1-6 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Mumbai (All Areas)","Upto 5 years of experience as a system analyst, business analyst, software developer, f...","Application Development
Software Development
Java
data governance
.net
HTML",7 DAYS AGO
Hiring Deputy General Manager/ General Manager- Information Technology,Max Healthcare,4.2,(1486 Reviews),10-15 Yrs,Not disclosed,Gurgaon/Gurugram,Minimum Qualifications : BTech / M.tech / MCA/MBARequirement gathering & defining solut...,"IT Head
Development Management
ERP
Requirement Gathering
DGM
Program Management
Project Management
ERP Implementation",19 DAYS AGO
Assistant Manager - Information Technology,ORRA Fine Jewellers Private Limited,4.1,(111 Reviews),6-11 Yrs,Not disclosed,"Mumbai Suburban, Mumbai (All Areas)","Team Handling, Experience in Microsoft Dynamics 365, Create design and modify the defau...","Microsoft Dynamics Erp
SQL Server
Azure Functions
Rdlc",5 DAYS AGO
Information Technology,OPPO,4,(3410 Reviews),1-2 Yrs,"1,50,000 - 1,75,000 PA.",Mumbai (All Areas),Any Graduate Preferred*Immediate Joiners and candidate residing in Mumbai should applyC...,"information technology
Desktop Support
Antivirus Management
Hardware
Windows Administration
Troubleshooting Skills",12 DAYS AGO
Intern - Information Technology,Planys Technologies Private Limited,4.6,(8 Reviews),0-1 Yrs,Not disclosed,Chennai,Certification RequiredSkill Required (Functional / Soft Skill)CCNA(Preferred) IS27002 (...,"IT-Hardware & Networking
Software management
Information Technology",18 DAYS AGO
Assistant Manager- Information Technology,Star TV,4.2,(71 Reviews),2-6 Yrs,Not disclosed,Mumbai,KEY RESPONSIBILITIES Responsible to map business requirements into Industry Standard Te...,"IT Skills
Testing
Oracle
RPA
ASP.Net
Process automation
Computer science
Automation",30+ DAYS AGO
Information Technology ( IT ) Intern,Aera Technology,3.7,(13 Reviews),1-2 Yrs,Not disclosed,Pune,"The IT intern will provide direct technical assistance and support to Aera Employees, C...","Laptop
Application Software
Customer Service
Analytical Skills
Hardware
Hr
Troubleshooting
Information Technology",30+ DAYS AGO
Delivery Manager - Information Technology,Parkar Global Technologies Pvt Ltd,2.5,(8 Reviews),11-15 Yrs,Not disclosed,Indore,Job Description The role is to ensure successful end-to-end delivery for complex progra...,"IT Skills
Software Development
Project Management
BPO
project management
IT services
SAN
SMS",30+ DAYS AGO
Delivery Manager - Information Technology,Parkar Consulting and Labs,2.2,(10 Reviews),10-15 Yrs,Not disclosed,Indore,"The role is to ensure successful end-to-end delivery for complex programs, projects, or...","IT Skills
Software Development
Project Management
BPO
project management
IT services
SAN
SMS",30+ DAYS AGO
Freshers in Information technology (DevOps Support),Vyom Labs Pvt Ltd,3.6,(132 Reviews),5-10 Yrs,Not disclosed,Pune,Job description for Fresher RIM Support : Experience Fresher to 6 Months Skills Must ha...,"IT Skills
Cloud
DevOps
AWS
SAP
Azure
Installation
Networking",30+ DAYS AGO
"Associate Manager, Information and Technology Services",Red Hat,4.6,(155 Reviews),5-8 Yrs,Not disclosed,Pune,"In this role, you will be responsible for a multi-tiered support team. As part of a glo...","Service management
Redhat
Service level
Linux
Consulting
Resourcing
IT support
Open source",30+ DAYS AGO
"Associate Professional, Information Technology",Ingram Micro,3.9,(477 Reviews),3-8 Yrs,Not disclosed,Mumbai,Must have at least 3 years practical application of Oracle PLSQL Development in Data Wa...,"IT Skills
Testing
Quality Assurance
Oracle
.Net
Unix
Aix
Performance tuning",30+ DAYS AGO
Software Engineer Manager,IBM,4.2,(13315 Reviews),7-12 Yrs,Not disclosed,Ahmedabad,We are looking for you as a Software Engineering Manager to lead a team of Engineers wo...,"Project development
Access management
Application development
Information technology
Distribution system
Interpersonal skills
SAAS
Project management",5 DAYS AGO
Software Engineer,Orell Technosystems (India) Pvt Ltd.,4,(15 Reviews),0-3 Yrs,Not disclosed,Delhi,Tech / M. Tech / MCA / Msc,"HTML5
debugging
C#
CSS
MS SQL
Ajax
ASP NET
JQuery",30+ DAYS AGO
Senior Software Engineer - DevOps,IHS Markit,4.1,(435 Reviews),7-12 Yrs,Not disclosed,Gurgaon/Gurugram,"Responsibilities Deploy scalable, highly available, secure, and fault tolerant systems ...","Solution architecture
Automation
Software design
DNS
HTTP
Load balancing
Information technology
Operations",11 DAYS AGO
Hiring For IT Freshers || Software Support Engineer || Gurgaon,Bar Code India Ltd,4,(35 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,Desire Candidate Profile- Candidate should be with good communication skill. Knowledge ...,"C#
.Net
SQL Server
SQL
communication
.NET Framework",3 DAYS AGO
Information Technology,INCREDIBLE VISIBILITY SOLUTIONS PRIVATE LIMITED,4.3,(2 Reviews),4-9 Yrs,Not disclosed,Kollam/Quilon,You must work well within a team environment and enjoy working in the office with your ...,"IT Skills
Java
Software Development
continuous integration
github
QA Professional
Javascript
Animation",30+ DAYS AGO
Information Technology,Sutherland Global Services Inc,3.9,(4496 Reviews),7-9 Yrs,Not disclosed,Bangalore/Bengaluru,9 years of experience in IT/ software engineering with in-depth experience/ certificati...,"Hibernate
Linux
MySQL
Javascript
PHP
J2Ee
HTML
Oracle",30+ DAYS AGO
Information Technology,APEX Analytix,3.9,(4 Reviews),2-5 Yrs,Not disclosed,Remote,Provide Tier III / other support per request from various constituenciesBachelor s Degr...,"GIS
VMware
Performance tuning
DNS
Windows
Troubleshooting
Information technology
DHCP",30+ DAYS AGO
Head of Information Technology,MEDOPS TECHNOLOGY PRIVATE LIMITED,4.3,(3 Reviews),10-15 Yrs,Not disclosed,Bangalore/Bengaluru(Indira Nagar),"Have significant, demonstrated, leadership experience in a multi-disciplinary technical...","information technology
problem solving
IT Infrastructure
End To End Application Development
leadership
Strategic Thinking
IT Management
IT Projects",15 DAYS AGO
Information Technology,Sutherland Global Services Inc,3.9,(4496 Reviews),1-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Hands on experience with Continuous Integration and related tool sets (e.g. Jenkins, Ku...","FXCop
Jenkins
python
C#
Consul
object oriented design
SonarQube
PowerShell",30+ DAYS AGO
HCL || 5G-Software Engineer,HCL Technologies,3.8,(19170 Reviews),0-0 Yrs,"7,00,000 - 12,00,000 PA.","Chennai, Bangalore/Bengaluru, Delhi / NCR",Experience of working on related area either in Internship or in academic Should be fro...,"Java
IT Skills
Python
Cloud
C++
CSS
Six Sigma
Strategy Deployment",6 DAYS AGO
Software Engineer Manager,IBM,4.2,(13315 Reviews),12-14 Yrs,Not disclosed,Ahmedabad,"IntroductionAt IBM Security, our mission is to protect our clients from various attacks...","Access management
Project development
Interpersonal skills
SAAS
Project management
Resourcing
Agile
Application development",13 DAYS AGO
Software Developer,Hexagon Capability Center India Pvt.Ltd.,4.2,(129 Reviews),0-2 Yrs,Not disclosed,Hyderabad/Secunderabad,"Responsibilities Work as an Agile Scrum team member, understand MSCM, SITE and Traffic ...","analytical
Supply Chain Management
Oracle PL / SQL
Materials Management
Oracle SQL
PL / SQL
IT Skills
Software Development",3 DAYS AGO
Software Development Specialist,NTT DATA,4,(7279 Reviews),5-10 Yrs,Not disclosed,Noida,"Minimum 5 years of experience in SharePoint Development - Master Pages, Layouts, Web Pa...","Telecom
Automation
jQuery
Consulting
Javascript
Active directory
HTML
MVC",1 DAY AGO
Rocket Flyer Technology - Software Development Engineer,Rocket Flyer Technology,4.5,(3 Reviews),0-4 Yrs,Not disclosed,"Gurgaon/Gurugram, Others, MP",Following skills are required : - In Depth experience on Python Experience in Tensorflo...,"Tensorflow
Pytorch
Python
Artificial Intelligence
Tensorlfow Lite
REST API
GIT
Tessaract",30 DAYS AGO
Specialist - Software Development Engineering,Fiserv,3.9,(1337 Reviews),8-12 Yrs,Not disclosed,Bangalore/Bengaluru,"What you will do You ll always raise the bar when it comes to our product quality, time...","IT Skills
Testing
Unix
Computer science
Automation
Backend
Testing tools
Functional testing",5 DAYS AGO
Senior Software Engineer (Distribution Technology),Dun & Bradstreet,4,(157 Reviews),3-5 Yrs,Not disclosed,Hyderabad,Experience of code quality reporting using tools and applying unit testing techniques u...,"IT Skills
Java
Software Development
Testing
Cloud
Big Data
AWS
Unix",30+ DAYS AGO
"Senior Software Engineer, Distribution Technology",Dun & Bradstreet,4,(157 Reviews),3-5 Yrs,Not disclosed,Hyderabad,"Have a bachelor s degree in Computer Science, Information Technology, or related fieldS...","Maven
Cloud computing
Coding
Eclipse
Debugging
Performance testing
JSON
Scrum",30+ DAYS AGO
"Software Engineer II, Distribution Technology",Dun & Bradstreet,4,(157 Reviews),2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"Have a bachelors degree in Computer Science, Information Technology, or related fieldSt...","IT Skills
Java
Python
Software Development
Testing
Cloud
Performance Testing
Maven",30+ DAYS AGO
IT Technology Services Specialist (DevOps Engineer),SAP,4.4,(1116 Reviews),5-10 Yrs,Not disclosed,Pune,"Bachelor s or master s degree or equivalent, preferably in computer science or informat...","Redhat Linux
DevOps
SUSE Linux
IT Skills
Cloud
SAP
Azure
SUSE",30+ DAYS AGO
Senior Software Engineer ( Java ),Infostretch solutions Pvt. Ltd.,3.6,(147 Reviews),0-2 Yrs,Not disclosed,Pune,Fluent in English is a must to collaborate with international / multicultural team 5+ y...,"Business process
Engineering services
SAN
Implementation Analyst
Agile
HTML
Business modeling
Customer service",30+ DAYS AGO
Senior Software Development Engineer,Oracle,3.9,(3298 Reviews),0-5 Yrs,"10,00,000 - 20,00,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR","Atleast 1 years of relevant IT experience, preferably in software development and data ...","Java
j2ee
IT Skills
Software Development
Testing
Data Science
Machine Learning
Cloud",24 DAYS AGO
SAP Master Data Governance MDG Tool Software Development Engineer,Accenture,4.1,(26528 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Educational Qualification : 16 yrs of Regular education, BE or Bachelors degree in busi...","SAP
Consulting
data governance
Information technology
ABAP
IT Skills
Software Development
Testing",11 DAYS AGO
"Professional, Software Development Engineering",Fiserv,3.9,(1337 Reviews),1-4 Yrs,Not disclosed,Bangalore/Bengaluru,"You ll always raise the bar when it comes to our product quality, time and again. Devel...","IT Skills
Testing
Unix
Computer science
Automation
Backend
Testing tools
Functional testing",12 DAYS AGO
HCL || ERX-Software Engineer,HCL Technologies,3.8,(19170 Reviews),0-0 Yrs,"7,00,000 - 12,00,000 PA.","Chennai, Bangalore/Bengaluru, Delhi / NCR","HCL is #Hiring freshers (B.Tech, B.E) from Tier 1 Institutes of India. (IITs and NITs)D...","c++
IT Skills
Python
HTML
Javascript
Java
CSS
C",6 DAYS AGO
Software Engineer II,Cerner,3.9,(653 Reviews),2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"As a Software Engineer II , you are required to make enhancements to existing software ...","IT Skills
Java
Python
Software Development
Cloud
DevOps
Jenkins
Computer science",2 DAYS AGO
HCL || 5G-Software Engineer,HCL Technologies,3.8,(19170 Reviews),0-0 Yrs,"7,00,000 - 12,00,000 PA.","Chennai, Bangalore/Bengaluru, Delhi / NCR",Experience of working on related area either in Internship or in academic Should be fro...,"Java
IT Skills
Python
Cloud
C++
CSS
Six Sigma
Strategy Deployment",6 DAYS AGO
Software Engineer (.net),Blackboard Inc.,4,(5 Reviews),3-5 Yrs,Not disclosed,Chennai,5 years of experience with web application development Bachelor s degree in Computer Sc...,"Computer science
Content management
Front end
jQuery
Coding
Javascript
Troubleshooting
Information technology",1 DAY AGO
Manager Software Engineering,Neustar,4.5,(25 Reviews),10-15 Yrs,Not disclosed,Hyderabad/Secunderabad,The Software Engineering Manager is a technology and people leader responsible to lead ...,"IT Skills
J2EE
Cloud
Javascript
Big Data
AWS
Computer science
Automation",15 DAYS AGO
Software Engineer III,Cerner,3.9,(653 Reviews),6-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelor s degree in Computer Science, Computer Engineering, Software Engineering, Info...","Computer science
Professional
Software Engineer II
Healthcare
Software Engineer III
Information technology
Monitoring
Software engineering",8 DAYS AGO
Software Engineering in Test II,Neustar,4.5,(25 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelors degree in computer science or engineering discipline Hands on experience with...,"Computer science
Telecom
Manager Quality Assurance
Business analysis
Information security
Agile
Scrum
Test cases",11 DAYS AGO
Software Engineer in Test II,Neustar,4.5,(25 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelors degree in computer science or engineering discipline Hands on experience with...,"IT Skills
Testing
Quality Assurance
Computer science
Telecom
Manager Quality Assurance
Business analysis
Information security",11 DAYS AGO
Software Development Specialist,NTT DATA,4,(7279 Reviews),5-10 Yrs,Not disclosed,Noida,"Minimum 5 years of experience in SharePoint Development - Master Pages, Layouts, Web Pa...","Telecom
Automation
jQuery
Consulting
Javascript
Active directory
HTML
MVC",1 DAY AGO
Rocket Flyer Technology - Software Development Engineer,Rocket Flyer Technology,4.5,(3 Reviews),0-4 Yrs,Not disclosed,"Gurgaon/Gurugram, Others, MP",Following skills are required : - In Depth experience on Python Experience in Tensorflo...,"Tensorflow
Pytorch
Python
Artificial Intelligence
Tensorlfow Lite
REST API
GIT
Tessaract",30 DAYS AGO
Senior Software Engineer (.net),VeriFone India Technologies Pvt Ltd,3.8,(86 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors degree /Master Degree -in Computer Science, Information Technology, or relate...","agile
Integration Testing
Scrum
written communication
Web Services
Micro Services
XSD
SQL Server",30+ DAYS AGO
Senior Software Engineer ( . Net ),Infostretch solutions Pvt. Ltd.,3.6,(147 Reviews),5-10 Yrs,Not disclosed,Pune,Required Skills: 5+ years as a backend engineer/Programming experience with C# Experien...,"CI / CD
C# Net
ECS
Postgresql
Azure
Cloud Security
Docker
AWS RDS",4 DAYS AGO
Technology-2022 Intern,IHS Markit,4.1,(435 Reviews),0-2 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru","A core component of your internship is our tailor-made global innovation challenge, pro...","IT Skills
Java
Software Development
Quality Assurance
Software development methodologies
Manager Quality Assurance
Aerospace
IHS",30+ DAYS AGO
Software Engineer (PHP/GO),Gartner India Research &amp; Advisory Services Pvt Ltd,4.1,(153 Reviews),2-4 Yrs,Not disclosed,Gurgaon/Gurugram,What will you do: Deliver outstanding software that improves user experience across mul...,"APIs
Agile
relational databases
Go
PHP
SQL
IT Skills
Testing",30+ DAYS AGO
Software Engineer III,Cerner,3.9,(653 Reviews),6-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelor s degree in Computer Science, Computer Engineering, Software Engineering, Info...","Computer science
Professional
Software Engineer II
Healthcare
Software Engineer III
Information technology
Monitoring
Software engineering",8 DAYS AGO
Software Engineering in Test II,Neustar,4.5,(25 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelors degree in computer science or engineering discipline Hands on experience with...,"Computer science
Telecom
Manager Quality Assurance
Business analysis
Information security
Agile
Scrum
Test cases",11 DAYS AGO
Software Engineer in Test II,Neustar,4.5,(25 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelors degree in computer science or engineering discipline Hands on experience with...,"IT Skills
Testing
Quality Assurance
Computer science
Telecom
Manager Quality Assurance
Business analysis
Information security",11 DAYS AGO
Software Engineer I,Monotype,4.3,(32 Reviews),0-1 Yrs,Not disclosed,Noida,"Proficient with JS, MYSQL / MongoDB, React / Vue/Angular, Node Js / PHP1 yr experience ...","REST API
debugging
JS
MYSQL
PHP
Kubernetes
Azure
AWS",30+ DAYS AGO
Intern-Software Engineering,Cadence Design Systems,4.4,(140 Reviews),0-1 Yrs,Not disclosed,Noida,"Education: BE/ B Tech/ ME/ M Tech / MS Strong Verilog, c/c++, object oriented programmi...","c
data structures
object oriented programming
algorithms
hardware design
Verilog
C++
Intern",30+ DAYS AGO
Jr. Software Engineer,AgreeYa,3.4,(108 Reviews),0-1 Yrs,Not disclosed,Noida,Bachelors in Engineering Good understanding of No SQL / SQL database Good understanding...,"IT Skills
Java
Software Development
Testing
Product Management
Process automation
Automation
Front end",30+ DAYS AGO
Software Engineer II,Cadence Design Systems,4.4,(140 Reviews),0-2 Yrs,Not disclosed,Noida,"Branches CS, ECE/EE Strong C/C++, object oriented programming skills Sound knowledge of...","object oriented programming
C++
troubleshooting
structures
Software Engineer II
Debugging
Programming
Manager Technology",30+ DAYS AGO
Software Engineer Trainee,Monotype,4.3,(32 Reviews),0-1 Yrs,Not disclosed,Noida,"Proficient with JS, MYSQL / MongoDB, React / Vue/Angular, Node Js / PHP1 yr experience ...","IT Skills
PHP
AWS
Azure
Product management
MySQL
Debugging
Machine learning",30+ DAYS AGO
Helpdesk Associate,NTT DATA,4,(7279 Reviews),0-3 Yrs,Not disclosed,Noida,"General Duties and Responsibilities: In these roles, you will be responsible for: Provi...","IT Skills
Testing
System testing
Helpdesk
IT service desk
Customer service
microsoft
ITIL",1 DAY AGO
Helpdesk Associate,NTT DATA,4,(7279 Reviews),0-3 Yrs,Not disclosed,Noida,Shift: Rotational shiftQualification: Graduate with minimum 6 months experience in a te...,"Analyst
PC hardware
Networking
Helpdesk
Customer handling
Windows Troubleshooting
Research
MS Office",8 DAYS AGO
Senior Software Engineer (.net),VeriFone India Technologies Pvt Ltd,3.8,(86 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelors degree /Master Degree -in Computer Science, Information Technology, or relate...","agile
Integration Testing
Scrum
written communication
Web Services
Micro Services
XSD
SQL Server",30+ DAYS AGO
Senior Software Engineer ( . Net ),Infostretch solutions Pvt. Ltd.,3.6,(147 Reviews),5-10 Yrs,Not disclosed,Pune,Required Skills: 5+ years as a backend engineer/Programming experience with C# Experien...,"CI / CD
C# Net
ECS
Postgresql
Azure
Cloud Security
Docker
AWS RDS",4 DAYS AGO
Network Engineer,Thales,4.3,(228 Reviews),8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelor degree in information technology or equivalentWe are looking for a network eng...,"analytical
WAN
firewalls
WAPs
LAN
Wireless
Aerospace
Disaster recovery",2 DAYS AGO
SOFTWARE Engineer,Hewlett-Packard (HP),4.3,(4671 Reviews),0-2 Yrs,Not disclosed,Bangalore/Bengaluru,"Education and Experience Required: Bachelors or Masters degree in Computer Science, Inf...","IT Skills
Java
J2EE
PHP
Testing
Project Management
Oracle
Computer science",30+ DAYS AGO
Software Engineer,Hewlett-Packard (HP),4.3,(4671 Reviews),0-2 Yrs,Not disclosed,Bangalore/Bengaluru,HPE is an equal opportunity employer / Female / Minority / Individual with Disabilities...,"written
debugging
verbal communication
analytical
IT Skills
Testing
Computer science
Networking",30+ DAYS AGO
Associate Manager - Software Development,Sutherland Global Services Inc,3.9,(4496 Reviews),5-15 Yrs,Not disclosed,Hyderabad/Secunderabad,Qualifications: Sutherland is seeking a strategic-thinking and dynamic person to join u...,"IT Skills
Python
Software Development
Testing
Machine Learning
DevOps
Power BI
Automation",3 DAYS AGO
"Software Engineering & Technology Manager(Python,Spark,Angular)",ZS Associates India Pvt Ltd,3.8,(685 Reviews),10-15 Yrs,Not disclosed,Bangalore/Bengaluru,Roles and Responsibilities Manage a team of top-notch software developers to build prod...,"IT Skills
Python
Software Development
Testing
Cloud
AWS
Software Engineering
Development",1 DAY AGO
Software Developer,IBM,4.2,(13315 Reviews),0-4 Yrs,Not disclosed,Bangalore/Bengaluru,WebSphere eXtreme Scale is an enterprise In Memory Data Grid application. WXS is design...,"Networking
Linux
Memory management
Debugging
Open source
Websphere
Cloud
Software development life cycle",1 DAY AGO
IT Deployment Specialist,Convene India Private Limited,3.6,(2 Reviews),0-3 Yrs,"2,50,000 - 4,00,000 PA.",Noida(Sector-62 Noida),Flexible and can adapt to changing shift schedules Bachelors degree in Computer Science...,"Deployment Specialist
IT Deployment specialist
Java
analytical
SQL
verbal
written
IT Deployment",2 DAYS AGO
Lead Software Engineer - Java,NEC Software Solutions (India),4.5,(23 Reviews),8-10 Yrs,Not disclosed,Mumbai,The Lead Software engineer role will be to participate in the development maintenance o...,"Core Java
RDBMS
XML
OOAD
Agile
Healthcare
Scrum
Stored procedures",2 DAYS AGO
Software Engineer in Test,Blackboard Inc.,4,(5 Reviews),2-5 Yrs,Not disclosed,Chennai,Specific responsibilities will include: Becoming an active member of an agile team of d...,"IT Skills
Java
Testing
Manual Testing
HTML
CSS
Javascript
System testing",2 DAYS AGO
Software Engineer,Blackboard Inc.,4,(5 Reviews),3-4 Yrs,Not disclosed,Chennai,At least 3 years of experience with web application development 4 years of experience w...,"Java
Scrum
NoSQL
XP
Microservices
RESTful Web Service
Python
AWS",2 DAYS AGO
Full Stack Software Engineer,Blackboard Inc.,4,(5 Reviews),1-4 Yrs,Not disclosed,Chennai,". As Software Engineer, you will be responsible for the de velopment and unit testing a...","Agile
Continuous Integration
NodeJS
Scrum
Spring boot
Java
Jenkins
Hibernate",2 DAYS AGO
Senior Software Engineer,SSP,4,(51 Reviews),5-10 Yrs,Not disclosed,"Gurgaon, haryana","Job Details Job Details Senior Software Engineer Gurgaon, Haryana Salary: Dependent on ...","Computer science
Application support
Assurance
XML
PAAS
XSLT
WCF
microsoft",30+ DAYS AGO
Sr. Software Engineer,SSP,4,(51 Reviews),4-9 Yrs,Not disclosed,Gurgaon,"Job Description - Fusion Job Details Senior Software Engineer Gurgaon, Haryana Salary: ...","server
technical
software
configuration
analytics
cloud
web
devops",30+ DAYS AGO
Software Developer,IBM,4.2,(13315 Reviews),2-5 Yrs,Not disclosed,Ahmedabad,Required Technical and Professional Expertise Preferred Technical and Professional Expe...,"Computer science
Agile
Open source
Information technology
Python
Interpersonal skills
Cloud
Project delivery",8 DAYS AGO
Sr . Software Developer,Altum Limited,3.6,(4 Reviews),5-8 Yrs,Not disclosed,Ahmedabad,Responsibilities Translate application storyboards and use cases into functional applic...,"IT Skills
Software Development
Testing
DevOps
.Net
ASP.Net
Computer science
jQuery",1 DAY AGO
SAP CO Management Accounting Software Development Engineer,Accenture,4.1,(26528 Reviews),6-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"Educational Qualification : 16 yrs of Regular education, BE or Bachelors degree in busi...","SAP CO
Project management
Consulting
Scheduling
Information technology
Communication
SAP PS
S4 HANA",25 DAYS AGO
SAP PM Plant Maintenance Software Development Engineer,Accenture,4.1,(26528 Reviews),6-8 Yrs,Not disclosed,Hyderabad/Secunderabad,Professional Attributes : 1: Good Communication skills and 2: Have Leadership and mento...,"remediation
Consulting
Scheduling
Information technology
Plant maintenance
SAP PM
S / 4 HANA
SAP",25 DAYS AGO
"Tech Lead, Software Development Engineering",Fiserv,3.9,(1337 Reviews),3-5 Yrs,Not disclosed,Pune,Experience troubleshooting and managing technical escalations is criticalBachelor s deg...,"Sql
Powershell
Splunk
TCP / IP
ITIL
ServiceNow
troubleshooting
Computer science",22 DAYS AGO
SAP SD Sales & Distribution Software Development Engineer,Accenture,4.1,(26528 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Educational Qualification : 16 yrs of Regular education, BE or Bachelors degree in busi...","Consulting
Troubleshooting
Information Technology
SAP SD testing
S4 HANA
SAP S / 4 HANA
communication
SAP",26 DAYS AGO
"Specialist, Software Development Engineering",Fiserv,3.9,(1337 Reviews),6-11 Yrs,Not disclosed,Pune,"Job Purpose Experience developing and/or supporting n-tier architecture, large-scale mu...","Computer science
Application support
IIS
VB SCRIPT
Powershell
Debugging
Application development
Stored procedures",30+ DAYS AGO
SAP PM Plant Maintenance Software Development Engineer,Accenture,4.1,(26528 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,Professional Attributes : 1: Good Communication skills and 2: Have Leadership and mento...,"Consulting
Scheduling
Information Technology
SAP PM
S / 4 HANA
SAP
SAP PI
Communication",30+ DAYS AGO
SAP CO Management Accounting Software Development Engineer,Accenture,4.1,(26528 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Educational Qualification : 16 yrs of Regular education, BE or Bachelors degree in busi...","SAP CO
Project Management
Consulting
SAP PS
Communication
S4 HANA
IT Skills
Software Development",30+ DAYS AGO
